age,income,citizenship,prior_services,household_size,has_disability,previous_medicaid,previous_wic,eligible_medicaid,eligible_food,eligible_wic
24,61767,1,2,3,0,1,0,0,0,0
38,12410,1,0,6,0,1,1,1,1,1
26,11497,1,1,2,0,0,0,1,1,1
56,40424,1,3,6,1,0,0,0,1,0
35,59198,0,0,4,0,0,0,0,0,0
21,26092,1,2,5,0,0,0,0,0,0
42,55902,1,1,5,0,0,0,0,0,0
77,31446,1,0,3,0,0,0,0,0,0
31,19786,1,0,4,0,0,0,1,1,0
67,15139,1,0,4,0,0,0,1,0,0
75,39441,0,0,3,0,1,0,0,0,0
26,16275,1,1,7,1,0,0,1,1,0
43,31219,1,2,7,0,0,0,0,0,0
70,53751,1,3,1,0,0,0,0,1,0
19,25398,1,0,7,1,1,0,0,0,0
37,49710,1,4,6,0,0,0,0,1,0
45,11781,1,1,4,0,0,0,1,1,0
64,21991,1,0,1,0,0,0,0,0,0
77,8892,1,1,1,0,0,0,1,0,1
24,31094,1,2,5,0,0,0,0,0,0
61,41701,1,3,6,0,0,0,0,1,0
78,31127,1,1,5,0,0,0,0,0,0
25,48405,1,1,2,0,0,1,0,0,1
64,18762,1,1,7,0,0,0,1,1,0
52,33380,1,1,5,0,0,0,0,0,0
31,22087,1,2,4,0,0,0,0,0,0
34,35425,1,0,4,0,0,0,0,0,0
53,37556,0,3,6,0,0,0,0,1,0
67,38735,0,0,1,0,0,1,0,0,1
57,13941,1,4,4,0,0,0,1,1,0
21,16653,1,1,7,0,0,1,1,1,1
19,19435,1,1,5,0,0,0,1,1,1
79,26416,1,0,7,0,0,0,0,0,0
23,31307,1,2,5,0,0,0,0,0,1
71,40621,0,2,6,0,0,1,1,0,1
59,17278,1,2,7,0,1,0,1,1,0
21,5984,1,1,5,0,0,0,1,1,0
71,62336,1,3,7,1,0,0,0,1,0
46,13028,1,3,3,1,0,0,1,1,0
35,42544,1,2,6,0,0,0,0,0,0
43,30469,1,1,6,0,0,0,0,0,0
61,33769,1,1,4,0,0,0,0,0,0
51,29976,1,1,6,0,0,0,0,0,0
27,24227,1,1,2,0,0,0,0,1,0
79,36959,1,0,4,1,0,0,0,0,0
53,23421,0,3,4,1,0,0,1,1,0
31,47494,1,3,7,1,0,0,0,1,0
48,38526,0,3,3,0,0,0,0,1,0
65,38993,1,0,4,0,0,0,0,0,0
32,22393,1,1,1,0,1,0,0,0,1
25,26454,1,0,5,0,0,0,0,0,0
31,12181,1,0,5,0,0,0,1,1,0
40,24704,0,1,6,0,0,0,0,0,0
77,14451,1,1,7,0,0,0,1,1,0
74,49696,1,1,3,0,0,0,0,0,0
79,30758,1,0,5,0,0,0,1,0,0
57,32557,0,2,1,0,0,0,0,1,0
38,26622,1,1,3,0,0,0,0,0,0
33,32963,0,3,2,0,0,0,0,0,0
62,66973,0,1,5,0,0,0,0,0,1
35,25497,1,2,4,0,0,0,0,0,0
64,20243,1,1,1,0,0,0,0,0,0
70,37945,1,1,7,0,0,0,0,1,0
41,0,0,1,7,0,0,0,0,1,0
43,30959,1,2,1,0,0,0,0,0,0
42,24424,1,1,5,0,0,0,0,0,0
77,15115,1,1,6,1,0,0,1,1,0
77,37616,1,2,2,0,0,0,0,0,0
77,30809,1,2,4,0,0,0,1,0,0
62,2963,1,0,2,0,0,0,1,1,0
58,20302,1,2,2,0,0,0,0,1,0
46,0,1,0,5,0,0,0,1,1,0
32,34399,1,0,4,1,0,0,0,0,1
62,34249,1,1,5,0,0,0,0,0,0
18,18100,1,2,5,1,0,0,1,1,0
42,38101,1,1,6,0,1,0,1,0,0
24,10762,0,1,1,0,0,0,0,0,1
26,15502,1,2,7,0,1,0,1,1,0
41,36257,1,0,6,0,0,0,0,0,0
18,19669,1,1,7,0,1,0,1,1,0
61,29060,1,2,6,0,0,0,0,1,0
25,21545,1,3,5,0,1,0,0,1,0
41,23836,1,0,6,0,0,0,0,0,0
28,24491,1,0,7,0,0,0,0,1,0
68,19398,1,1,6,0,0,0,1,1,0
34,34536,1,1,3,0,1,1,0,0,1
25,20581,0,1,4,0,0,0,0,1,0
52,30235,1,0,1,0,0,0,0,1,0
52,19069,0,1,7,1,0,1,1,1,1
50,6985,1,1,4,0,0,0,1,1,0
76,43686,1,1,1,0,0,0,0,0,1
22,37492,1,0,3,0,0,0,0,0,0
59,64330,1,0,5,1,1,0,0,0,0
56,14340,1,2,7,0,1,0,1,0,0
75,26865,1,0,1,0,0,0,0,0,0
58,28072,1,1,1,0,0,1,0,0,1
45,44840,1,2,1,0,0,0,0,0,0
24,22393,1,0,3,0,0,0,0,0,0
26,12434,1,2,4,0,0,0,1,1,0
25,48117,1,1,3,0,0,0,0,0,0
29,25250,1,0,1,0,0,0,0,0,0
51,43179,1,1,6,0,1,0,0,0,0
50,41432,1,2,1,1,1,0,0,0,0
65,29551,1,0,6,0,0,0,0,0,0
72,27385,0,1,5,0,1,0,0,0,0
40,24126,1,1,3,0,0,0,0,0,0
79,29772,1,1,6,0,0,0,1,0,0
41,42946,1,0,3,0,0,0,0,0,0
54,18053,1,0,2,1,0,0,1,1,1
52,31632,1,0,4,0,0,0,1,0,0
61,13220,1,1,2,0,0,0,1,1,0
57,15088,1,0,6,0,0,0,1,1,0
39,29535,1,0,2,0,0,0,0,1,0
44,597,1,3,7,0,0,0,1,1,0
52,60908,1,1,4,0,0,0,0,0,0
18,12104,0,2,6,0,0,0,0,1,0
52,29398,1,0,5,0,0,0,0,0,0
54,47523,1,0,5,0,0,0,0,0,0
64,17056,1,2,4,0,0,1,1,1,1
31,0,0,0,4,0,1,0,0,1,0
20,23325,1,2,6,1,0,1,1,0,1
18,16877,1,1,3,0,0,0,1,1,1
22,0,1,3,7,0,0,0,1,1,0
43,34273,1,2,6,1,0,0,0,0,0
72,33106,0,1,3,0,0,0,0,0,0
31,47134,1,2,3,0,0,0,0,0,0
56,13187,1,1,3,0,0,0,1,1,0
44,6012,1,1,6,0,0,0,1,1,0
26,23899,0,0,1,0,0,0,0,0,0
32,28674,1,1,1,0,1,0,0,0,0
32,43820,1,1,5,1,0,0,0,0,0
43,51158,1,2,1,0,1,0,0,0,0
59,48217,0,0,1,0,0,0,0,0,0
77,34148,1,2,3,0,0,0,0,0,0
30,41992,1,1,3,0,0,0,0,0,0
68,20392,1,1,4,1,0,0,1,1,0
49,32525,1,0,3,1,0,0,0,0,0
56,12130,1,0,6,0,0,0,1,0,0
66,30940,1,0,4,1,0,0,0,0,0
69,31329,0,0,7,0,0,0,0,0,0
78,55831,1,1,4,0,0,0,0,0,0
49,26565,0,0,1,0,0,0,0,0,0
21,31350,1,0,3,0,1,0,0,0,0
47,33554,1,2,1,1,1,0,0,0,0
54,23177,1,1,3,0,0,0,0,1,0
40,17962,0,1,1,0,0,0,0,0,0
56,49482,1,3,7,0,0,0,0,1,0
62,15286,1,2,1,0,0,0,1,0,1
32,10081,0,1,1,0,1,0,1,0,1
60,40203,0,0,6,0,0,0,0,0,0
46,47367,0,0,7,0,0,0,0,0,0
53,23228,1,1,5,0,0,0,0,0,0
30,23459,1,1,7,0,0,0,0,0,0
49,34238,1,1,1,0,1,0,0,0,0
24,19382,0,1,2,0,0,0,0,1,1
76,18274,1,0,2,0,0,0,1,0,0
68,43193,1,1,2,0,0,1,0,0,1
39,39106,1,2,6,0,0,0,0,0,0
45,49667,1,2,4,0,0,0,0,0,0
19,11211,0,2,1,0,1,0,0,0,1
59,22463,0,0,7,0,0,0,1,0,0
62,34217,0,2,2,0,0,0,0,0,0
79,16115,1,0,6,0,0,0,1,1,0
74,39625,0,1,4,0,0,0,0,0,0
70,48369,1,2,2,0,1,0,0,0,0
23,21249,1,3,3,0,0,0,0,1,0
45,30578,1,2,5,0,0,0,0,0,0
45,51834,1,0,1,0,0,0,0,0,0
61,56989,1,0,5,0,0,0,0,0,1
61,41187,1,2,5,0,0,0,0,0,0
37,38901,0,2,3,0,1,0,0,0,0
47,17193,1,1,3,1,1,1,0,1,1
79,35388,1,1,3,0,0,0,0,0,0
28,38352,1,1,4,0,0,0,0,0,0
75,26844,1,0,2,0,1,0,0,0,0
72,21078,1,1,7,0,0,0,0,1,0
45,10780,1,1,1,0,0,0,1,0,0
42,3934,1,1,3,0,0,0,1,1,0
56,781,1,1,6,0,0,0,1,1,0
79,38691,0,3,1,0,0,0,0,1,0
50,32215,1,1,7,0,0,0,0,0,0
18,22742,1,1,1,1,0,0,1,0,1
74,25028,1,2,1,0,0,0,0,0,0
44,33157,1,1,3,0,0,0,0,0,0
79,27531,1,3,3,1,0,0,0,1,0
74,9891,0,0,2,0,0,0,0,1,0
69,43695,1,2,7,1,0,0,0,0,0
30,34561,1,2,3,0,0,0,0,0,0
58,33988,1,0,3,0,0,0,0,0,0
20,42563,0,0,1,0,1,0,0,0,0
56,17795,1,2,2,0,0,0,1,1,0
23,48205,1,3,5,0,0,0,0,1,0
25,27899,1,1,3,0,1,0,0,0,0
44,43328,1,2,6,0,0,0,0,0,0
26,41016,0,1,3,0,1,0,0,0,0
79,14417,1,1,5,0,0,0,0,1,0
54,37543,1,1,1,0,0,0,0,0,0
50,34894,1,0,7,0,0,0,0,0,0
68,30454,1,1,2,0,0,0,0,0,0
59,28584,0,0,1,0,0,0,0,0,0
61,28711,1,1,7,0,0,0,0,0,0
41,42190,1,0,4,0,0,0,0,0,0
32,38668,1,1,3,1,0,0,0,0,0
76,30457,1,3,7,0,0,0,0,1,0
71,7620,1,0,6,0,0,0,1,1,0
49,37416,1,0,7,0,0,0,0,0,0
49,40854,0,3,4,0,0,0,0,1,0
41,64506,1,0,3,0,0,0,0,0,0
58,46131,1,1,4,0,0,0,0,0,0
69,1512,1,0,5,0,0,0,1,1,0
66,31176,1,3,3,0,0,1,1,1,1
79,57170,1,2,6,0,1,0,0,0,0
66,39353,1,2,3,0,0,0,0,0,0
75,34929,1,4,4,0,0,0,0,1,0
69,43503,1,0,2,0,0,0,1,0,0
29,20664,1,1,4,0,0,1,0,1,1
79,37171,0,2,3,0,0,0,0,0,0
56,26242,1,1,3,1,1,0,0,1,0
19,29705,0,2,7,0,0,0,0,0,0
20,42426,1,2,2,0,0,0,0,0,1
66,16099,1,0,1,0,1,0,1,0,0
54,49319,1,2,2,0,0,0,0,0,0
66,23657,1,0,1,0,0,0,0,0,0
73,33909,1,2,6,0,0,0,0,0,0
34,8992,0,0,3,0,0,0,0,0,0
76,40797,1,2,7,0,0,0,0,0,0
66,51697,1,1,5,0,0,0,0,0,0
19,22280,1,2,5,0,0,0,0,0,0
19,13346,1,3,4,0,0,0,1,1,0
45,34169,1,1,2,1,1,0,0,1,0
71,51822,1,1,2,0,0,0,1,1,0
40,8252,1,1,5,0,0,0,1,1,0
54,13405,1,1,1,0,0,0,1,0,0
49,23187,0,3,2,0,0,1,0,0,1
50,17694,0,1,1,0,0,1,0,0,1
18,17742,1,0,1,0,0,0,1,0,1
36,0,1,2,1,1,0,0,1,0,1
79,38835,1,2,1,0,0,0,0,0,0
19,35080,0,0,7,0,0,0,0,0,0
70,4517,1,1,4,1,1,0,1,1,0
61,51857,1,0,4,0,0,0,0,0,1
43,55216,1,1,7,1,0,0,0,0,0
49,18736,1,1,5,0,0,0,1,1,0
23,47498,0,1,4,1,0,0,0,0,0
49,21405,1,3,6,0,0,0,0,1,0
72,32716,1,0,7,0,0,0,0,0,0
21,17463,0,1,2,0,0,0,0,1,1
72,63213,0,3,6,0,0,1,0,1,1
28,25559,0,0,7,0,0,1,0,0,1
73,31896,0,1,4,1,1,0,0,0,0
76,19680,1,0,2,0,1,0,1,0,0
34,57919,1,1,2,0,0,0,0,0,0
55,58299,0,1,1,0,0,0,0,0,0
41,54463,0,4,5,0,0,0,0,1,0
22,44346,1,1,1,0,0,0,0,0,1
69,20628,1,0,7,0,0,0,0,0,0
51,42417,1,1,1,1,0,0,0,0,0
23,29894,1,1,6,0,1,0,0,1,0
39,49686,1,1,4,0,0,0,0,0,0
28,46738,1,0,6,0,1,0,0,0,0
65,20261,0,0,4,0,1,0,0,0,0
33,44217,1,0,6,0,0,0,0,0,0
50,40230,1,0,2,0,0,0,0,0,0
26,0,1,1,4,0,0,0,1,1,0
77,42014,1,1,4,0,0,1,0,0,1
76,23523,1,2,6,0,0,0,0,0,0
23,16709,1,1,3,0,0,0,1,1,0
33,17351,1,1,2,0,0,0,1,1,1
46,27971,0,2,7,0,0,0,0,0,0
20,37200,0,1,2,0,0,0,0,0,0
37,9518,1,2,7,0,0,0,1,1,0
77,32847,1,0,3,0,0,0,0,0,0
76,38651,1,2,6,0,0,0,0,0,0
53,57927,1,0,6,0,1,0,0,0,1
36,13849,0,2,2,0,0,0,0,1,1
43,24755,0,1,6,0,0,0,0,0,0
20,33924,1,1,5,0,0,0,0,0,0
36,47211,1,3,5,0,0,0,0,1,0
37,25436,1,0,7,1,0,0,0,0,0
49,47979,1,1,3,0,0,0,0,0,0
24,939,1,2,4,0,0,0,1,1,0
69,11199,1,0,5,1,0,0,1,1,0
58,35229,0,0,7,0,1,0,0,0,0
50,8837,1,3,6,0,0,0,1,1,0
57,12382,1,1,3,1,0,0,1,1,0
56,22083,1,0,7,1,0,0,1,0,0
35,41571,1,1,7,0,1,0,0,1,1
57,1560,1,0,5,0,0,0,1,0,0
18,32554,1,2,1,0,1,0,0,0,0
28,45494,0,1,3,1,0,0,0,0,0
45,27075,1,4,2,1,0,0,0,0,0
74,24467,0,1,7,0,0,0,1,0,1
42,36026,1,1,5,0,0,1,0,0,1
67,27118,0,1,2,0,0,0,1,0,0
40,50857,1,2,3,0,1,0,1,0,0
48,13328,1,1,5,0,0,0,1,1,0
47,29225,1,0,2,0,0,0,0,0,0
59,33085,1,2,4,0,0,0,0,0,1
52,24323,0,1,7,0,0,0,0,0,0
24,0,1,0,4,0,0,0,1,1,0
77,27586,1,2,1,0,0,0,0,0,0
33,43502,1,1,6,0,0,0,0,0,0
43,41671,0,1,3,0,0,0,0,0,0
65,35321,1,0,6,0,0,0,0,0,0
74,13532,1,0,6,1,1,0,1,1,0
69,35929,0,1,2,0,0,0,0,0,1
77,21398,1,3,1,0,1,1,1,0,1
66,35302,1,1,3,0,0,0,0,0,0
19,31822,1,1,4,1,0,0,0,0,0
18,15354,1,5,6,0,0,0,1,1,0
65,16613,1,3,2,0,0,0,1,1,0
79,35325,1,3,6,0,1,0,0,1,0
29,26683,1,2,5,0,0,0,0,0,1
22,17395,1,2,4,1,0,0,1,1,0
54,16157,1,1,6,0,0,0,0,0,0
49,25442,1,1,5,0,0,0,0,0,0
76,53521,1,0,5,0,1,0,0,1,0
72,22108,1,3,2,0,0,0,0,1,0
26,29789,1,1,2,0,0,0,0,0,0
58,31524,1,1,5,1,0,0,0,0,0
52,13034,1,1,1,1,1,0,1,0,0
36,3557,0,0,6,0,0,0,0,1,0
65,14600,1,1,5,0,0,0,1,1,0
33,33706,1,0,5,0,0,0,0,0,0
20,31309,0,3,2,0,0,0,0,1,0
37,40536,1,3,6,0,1,0,0,1,0
41,31451,1,3,3,0,1,0,0,1,0
71,28356,1,0,4,0,0,0,1,1,1
73,20939,1,0,2,0,0,0,0,1,0
50,43269,1,0,6,0,0,0,0,0,0
41,16212,0,1,6,0,0,0,0,1,0
69,13344,1,0,7,0,0,0,1,1,0
28,38505,0,0,1,0,0,0,0,0,0
66,10002,0,0,4,1,0,0,1,0,0
25,66221,0,0,2,0,0,0,0,0,0
53,31199,1,2,2,1,0,0,0,0,0
55,35218,1,1,3,0,0,0,0,0,0
57,17873,0,0,7,0,1,0,0,1,0
37,25271,0,3,7,0,0,1,0,0,1
79,23598,1,0,1,1,0,0,1,0,0
52,21872,0,3,7,0,0,1,0,1,1
65,39494,0,3,1,1,0,1,0,1,0
79,23256,0,3,6,0,0,0,0,1,0
42,45262,1,2,6,0,0,0,0,0,0
52,69947,1,2,2,0,0,0,0,0,0
42,25566,1,2,3,0,0,0,0,0,0
46,32284,1,3,2,1,1,0,0,1,0
35,35692,1,1,7,0,0,0,0,0,0
63,57172,1,1,5,0,1,0,0,0,0
35,28760,1,2,6,0,0,0,0,0,0
19,17564,1,0,5,0,0,0,1,1,0
71,11004,1,2,7,0,0,0,1,1,0
52,29130,0,3,3,0,0,0,0,1,0
33,23274,1,1,2,0,0,0,0,0,0
78,60150,1,1,6,0,0,0,0,0,0
58,56547,1,3,3,0,0,0,0,1,0
53,14484,1,0,2,0,0,0,1,1,0
50,19338,1,0,2,0,0,0,1,1,0
21,31106,0,2,5,0,0,0,0,0,0
50,50958,1,3,4,0,0,0,0,1,0
31,30855,1,2,7,0,0,0,0,1,0
38,20291,1,0,1,0,0,0,0,0,1
65,29116,1,1,6,0,0,0,0,0,0
37,20572,1,1,1,0,0,0,0,0,1
73,39037,1,1,3,0,0,0,0,0,0
25,19364,1,1,1,0,0,0,1,1,1
24,22343,0,0,5,0,0,0,0,0,0
20,47429,1,1,4,0,0,0,0,0,0
34,18474,1,1,6,0,0,0,1,1,0
50,8308,1,3,7,1,1,0,1,1,0
65,31424,1,0,2,0,0,0,0,0,0
29,24592,1,0,2,0,0,1,0,0,1
76,37671,1,0,7,0,0,0,0,0,0
68,34762,1,0,5,0,0,0,0,0,0
39,29521,1,1,6,0,0,0,0,0,0
72,29084,1,1,1,0,0,0,0,0,0
39,18962,1,1,7,0,1,0,1,0,1
63,31250,0,0,2,0,0,0,0,0,0
47,43219,1,1,1,1,0,0,0,0,0
55,15398,1,0,5,0,0,0,1,1,0
55,29919,1,2,2,0,1,1,0,0,1
62,45575,0,0,3,0,0,0,0,0,0
68,37581,1,4,4,0,0,0,0,1,0
71,49642,1,0,1,0,0,0,0,0,0
25,21477,1,1,7,0,0,0,0,1,0
44,2538,1,2,6,0,0,0,1,1,0
44,33009,1,4,1,0,1,0,0,1,0
51,35438,1,0,1,0,0,0,0,0,0
38,50526,0,2,1,1,0,0,0,0,0
47,47822,1,1,7,0,1,0,1,0,1
50,38051,1,0,5,0,0,0,0,0,0
45,41480,0,1,5,0,0,0,0,0,0
64,27122,1,1,6,0,0,0,0,0,0
50,11713,1,1,5,1,0,0,1,1,0
22,31765,1,1,7,0,0,0,0,0,0
77,44738,1,0,6,0,1,0,0,0,0
78,39845,1,1,6,0,0,0,0,1,0
65,42507,0,2,5,0,0,0,0,0,0
36,23583,0,2,2,1,0,0,1,1,0
21,26016,1,0,5,0,0,0,0,0,0
52,37251,1,2,2,0,0,0,0,0,0
66,21802,1,1,3,0,0,0,0,0,0
34,22264,1,2,5,0,0,0,0,0,0
61,34469,1,1,3,0,0,0,0,0,0
45,41413,1,0,5,0,0,0,0,0,0
47,27007,1,2,3,0,0,0,0,0,0
46,12552,1,2,4,0,0,0,1,1,0
63,18962,1,2,3,0,0,0,1,1,0
70,33055,1,5,2,0,0,0,0,1,0
23,32872,1,2,1,0,0,0,0,0,0
52,33618,0,0,6,1,0,0,0,0,0
77,37819,1,2,3,0,0,0,0,0,0
58,30087,1,3,1,0,0,0,0,1,0
54,33975,0,1,7,0,0,1,0,0,1
41,29324,1,0,4,1,0,0,0,0,0
46,47231,0,1,4,0,0,0,0,0,0
66,51485,1,3,7,0,0,0,0,1,0
63,12164,1,0,7,0,0,0,1,1,0
70,26171,1,0,7,0,0,0,0,0,0
48,30490,0,1,2,0,0,0,1,0,0
52,25996,1,0,7,1,0,0,0,0,0
77,56893,1,1,2,0,0,0,0,0,0
50,33359,1,1,3,0,0,0,0,0,0
69,17919,1,0,5,1,0,0,1,1,1
78,38946,0,0,7,0,0,0,0,1,1
38,34064,1,1,7,0,0,0,0,0,0
49,34562,1,3,4,1,0,0,0,0,0
40,57118,1,1,1,0,0,0,0,0,0
50,35261,0,2,5,0,0,0,0,0,0
20,25445,0,1,4,0,1,0,0,0,0
35,670,0,0,3,0,0,0,0,1,0
42,27519,1,0,7,0,1,0,0,0,0
59,49589,1,1,4,0,0,0,0,0,0
48,28632,1,0,2,0,0,0,0,0,0
71,0,1,1,1,0,0,0,1,0,0
75,22524,1,1,1,0,0,0,0,0,0
20,44890,1,0,2,0,0,0,0,1,0
57,38187,1,1,7,0,1,0,0,0,0
63,17401,0,1,7,1,0,0,1,1,0
41,21520,1,1,5,0,0,0,0,1,0
67,23839,1,2,2,0,0,0,0,0,0
49,20059,0,1,7,0,1,0,0,1,0
64,0,1,1,1,0,0,0,1,0,0
39,41453,1,1,7,0,0,0,0,0,0
40,48855,1,2,3,1,0,0,0,0,0
19,7223,1,2,7,0,0,1,1,1,1
44,48657,1,0,5,0,0,0,0,0,0
59,28454,1,3,6,0,0,0,0,1,0
19,48376,1,0,4,0,0,0,0,0,0
43,30569,1,1,6,0,0,0,0,0,0
34,32033,1,0,3,0,0,0,0,0,0
57,35586,1,0,6,0,0,0,0,0,0
50,18149,1,1,7,0,1,0,1,1,0
26,47920,1,0,5,0,1,0,0,0,0
60,13179,1,1,1,0,0,0,1,0,0
71,23968,0,0,1,0,0,0,0,0,0
65,37863,0,0,3,0,0,0,0,0,0
56,22362,0,1,6,0,0,0,0,0,0
46,41662,1,0,5,0,0,0,0,0,0
59,50637,1,2,4,0,0,0,0,0,0
72,45188,1,1,7,0,0,0,0,0,0
43,958,1,1,6,0,0,0,0,1,0
52,31887,1,0,6,0,0,0,0,0,0
67,45430,1,1,4,0,0,0,0,0,0
42,10248,0,2,2,0,0,0,0,1,0
41,40854,1,1,7,1,0,1,0,0,1
30,40011,1,0,3,1,0,0,0,0,0
77,11818,1,2,7,0,0,0,1,1,0
75,42513,1,4,5,0,0,0,0,0,0
24,34090,1,2,3,0,0,0,0,0,0
74,39755,0,0,4,0,0,0,0,0,0
53,15505,0,4,5,0,0,0,1,1,0
62,32252,0,0,1,1,0,0,0,0,0
37,4426,1,0,1,0,0,0,1,0,1
18,0,1,0,7,0,0,0,1,1,0
25,32112,1,3,5,0,0,0,1,1,0
63,46508,0,0,3,0,0,0,0,0,0
33,33794,1,0,3,0,1,0,0,0,0
31,29048,1,0,1,0,0,0,0,0,1
29,27186,1,1,1,0,0,1,0,0,1
68,15861,1,0,4,0,1,0,1,1,0
40,26672,1,1,5,0,0,0,0,0,0
32,36325,1,1,3,0,0,0,0,0,0
45,23471,1,1,4,1,0,0,1,0,0
51,41258,1,1,3,0,0,0,0,0,0
19,32939,1,2,1,0,0,0,0,0,0
49,34754,1,2,5,0,0,0,0,0,0
40,43329,1,0,2,0,0,0,0,0,0
39,22098,1,1,5,0,0,0,0,0,0
68,39890,1,0,6,0,0,0,0,0,0
42,24202,1,1,2,0,0,0,0,0,0
75,35092,1,0,7,0,0,1,0,0,1
79,20313,1,2,7,0,1,0,0,1,0
78,16339,1,2,4,0,0,0,0,1,0
39,31377,1,1,2,1,0,0,0,1,0
75,1721,1,3,2,1,0,0,1,0,0
75,25555,1,2,4,1,0,1,0,0,1
39,5904,1,2,5,0,0,0,1,1,0
66,41688,1,2,4,1,0,0,0,0,0
69,45751,1,1,6,0,0,0,0,0,0
59,17040,1,2,1,0,0,0,1,0,0
23,36424,1,1,7,0,1,0,0,1,0
32,43487,1,1,1,0,0,0,0,0,0
71,43537,1,1,7,0,0,0,0,0,0
60,33216,1,0,2,0,0,0,0,0,0
77,41014,1,0,4,0,0,0,0,0,0
54,20260,1,0,4,0,0,0,0,1,0
50,31246,0,2,4,0,1,0,0,0,0
25,22993,1,3,6,0,0,0,0,1,0
70,18993,1,1,6,0,0,0,1,1,0
77,30540,1,2,5,0,0,0,0,0,0
61,35212,1,1,3,1,1,0,0,0,0
61,47452,1,2,7,0,0,0,0,0,0
22,33977,1,1,3,0,1,0,0,0,0
56,39628,1,3,3,0,1,0,1,1,0
21,39799,1,0,7,0,0,0,0,0,0
23,70313,0,0,5,0,0,0,0,0,0
62,2849,1,0,4,0,0,0,1,1,0
49,19680,0,1,3,1,0,0,1,1,0
69,52110,1,2,4,0,0,0,0,0,0
47,24719,1,0,2,0,0,0,0,0,0
64,43287,1,0,3,0,0,0,0,0,0
52,33450,1,1,2,0,0,0,0,0,0
72,61578,0,0,5,0,0,0,0,0,0
57,13304,1,2,1,0,0,0,1,0,0
69,48327,1,1,6,0,0,0,0,0,0
33,56243,1,2,7,0,0,0,0,0,0
30,14783,1,1,5,0,0,0,1,1,0
67,41743,1,0,5,0,0,0,0,0,0
77,15517,0,1,5,0,0,0,0,1,0
59,30452,1,1,3,0,1,0,0,0,0
47,26151,1,1,2,0,0,0,0,0,0
36,0,1,1,6,0,0,0,1,1,0
34,36363,1,0,3,0,0,1,0,0,1
73,32150,0,3,1,0,0,0,0,1,0
36,52186,1,0,7,0,1,0,0,0,0
45,39167,0,2,7,0,0,0,0,0,0
75,64363,1,1,6,0,0,0,0,0,0
72,31605,1,5,7,0,0,0,0,1,0
43,28417,1,1,7,0,0,0,1,0,0
54,27234,1,1,5,0,0,0,0,0,0
43,23406,1,1,4,0,0,0,0,0,0
70,0,1,2,1,0,0,0,1,0,0
79,26697,1,1,2,0,0,0,0,0,0
40,0,0,1,1,0,0,0,0,0,0
26,36780,1,1,3,0,0,0,0,1,0
29,11399,1,0,7,0,0,0,1,1,0
